<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BBC,20090701,01-07-09,21.5739,21.6485,21.5739,21.5754,291790
BBC,20090630,30-06-09,23.888,23.888,22.6936,22.6952,141480
BBC,20090629,29-06-09,24.2613,24.4106,23.2162,23.8897,157980
BBC,20090626,26-06-09,23.5148,23.888,23.1415,23.8897,208810
BBC,20090625,25-06-09,24.0373,24.0373,21.7978,23.1431,189710
BBC,20090624,24-06-09,21.8725,22.9176,21.8725,22.9192,133780
BBC,20090623,23-06-09,21.8725,22.395,21.8725,21.874,287070
BBC,20090622,22-06-09,24.1866,24.1866,22.9922,22.9938,185400
BBC,20090619,19-06-09,24.1866,24.1866,23.888,24.1883,226770
BBC,20090618,18-06-09,23.0669,23.0669,22.9922,23.0685,224290
BBC,20090617,17-06-09,21.4992,22.395,21.4992,22.0233,668070
BBC,20090616,16-06-09,22.619,22.619,22.619,22.6206,330960
BBC,20090615,15-06-09,23.7387,23.888,23.7387,23.7404,294910
BBC,20090612,12-06-09,26.1275,26.1275,24.1866,24.9349,459000
BBC,20090611,11-06-09,25.2317,25.3064,24.7092,25.3081,557610
BBC,20090610,10-06-09,24.112,24.112,24.112,24.1137,398420
BBC,20090609,09-06-09,26.9487,26.9487,24.7092,25.3081,611090
BBC,20090608,08-06-09,25.8289,25.8289,25.8289,25.8307,58800
BBC,20090605,05-06-09,24.6345,24.6345,24.6345,24.6363,47710
BBC,20090604,04-06-09,23.5148,23.5148,23.5148,23.5164,169230
BBC,20090603,03-06-09,22.2457,22.395,22.0218,22.3966,699120
BBC,20090602,02-06-09,21.3499,21.3499,20.902,21.3514,519550
BBC,20090601,01-06-09,19.7823,20.7527,19.7076,20.3809,538890
BBC,20090529,29-05-09,20.0809,20.0809,18.2893,19.7837,1079030
BBC,20090528,28-05-09,19.1851,19.1851,19.1104,19.1864,627410
BBC,20090527,27-05-09,18.2893,18.2893,17.4681,18.2906,502400
BBC,20090526,26-05-09,17.3935,17.4681,16.647,17.4693,697200
BBC,20090525,25-05-09,15.9005,16.647,15.8258,16.6481,274960
BBC,20090522,22-05-09,16.2737,16.5723,15.9005,15.9016,334770
BBC,20090521,21-05-09,16.7216,16.7216,16.423,16.7228,741810
BBC,20090520,20-05-09,15.9751,15.9751,15.6765,15.9762,579440
BBC,20090519,19-05-09,15.2286,15.2286,15.2286,15.2297,188060
BBC,20090518,18-05-09,14.5568,14.5568,14.5568,14.5578,359570
BBC,20090515,15-05-09,13.5117,13.8849,13.3624,13.8859,175520
BBC,20090514,14-05-09,12.9145,13.437,12.9145,13.2886,56290
BBC,20090513,13-05-09,13.5863,13.5863,13.2877,13.2886,167490
BBC,20090512,12-05-09,12.6159,13.437,12.6159,13.438,102920
BBC,20090511,11-05-09,13.5117,13.5863,12.9891,12.99,77930
BBC,20090508,08-05-09,13.437,13.8103,13.2877,13.438,122620
BBC,20090507,07-05-09,13.3624,13.437,13.0638,13.438,299000
BBC,20090506,06-05-09,13.8103,13.8103,12.8398,12.8407,254670
BBC,20090505,05-05-09,13.3624,13.3624,13.3624,13.3633,40820
BBC,20090504,04-05-09,12.7652,12.7652,12.7652,12.7661,21920
BBC,20090429,29-04-09,11.944,12.168,11.7947,12.1688,118720
BBC,20090428,28-04-09,11.6454,11.7947,11.4961,11.6462,41710
BBC,20090427,27-04-09,12.0933,12.0933,11.4961,11.7955,69990
BBC,20090424,24-04-09,11.944,12.0933,11.7947,11.7955,140200
BBC,20090423,23-04-09,12.5412,12.9891,12.3173,12.3928,110640
BBC,20090422,22-04-09,13.3624,13.3624,12.3919,12.9154,152050
BBC,20090421,21-04-09,12.9891,12.9891,12.9891,12.99,4830
BBC,20090420,20-04-09,13.661,13.661,13.661,13.6619,29210
BBC,20090417,17-04-09,14.3328,14.3328,13.2877,14.3338,441170
BBC,20090416,16-04-09,13.661,13.661,13.2877,13.6619,105830
BBC,20090415,15-04-09,12.9145,13.437,12.6905,13.0647,174180
BBC,20090414,14-04-09,12.5412,12.8398,12.168,12.8407,158270
BBC,20090413,13-04-09,12.2426,12.2426,11.944,12.2435,460620
BBC,20090410,10-04-09,11.1975,11.7201,11.5708,11.7209,129140
BBC,20090409,09-04-09,11.4961,11.7947,11.1229,11.1983,79940
BBC,20090408,08-04-09,11.8694,12.2426,11.4215,11.4969,140860
BBC,20090407,07-04-09,11.3468,11.8694,11.2722,11.8702,142370
BBC,20090403,03-04-09,10.8243,11.3468,11.1229,11.3476,202510
BBC,20090402,02-04-09,10.675,11.0482,10.675,10.825,82250
BBC,20090401,01-04-09,10.5257,10.675,10.451,10.6757,55270
BBC,20090331,31-03-09,10.3017,10.5257,10.1524,10.2278,57640
BBC,20090330,30-03-09,10.5257,10.8989,10.3764,10.5264,74360
BBC,20090327,27-03-09,11.4961,11.4961,10.8989,10.8997,124310
BBC,20090326,26-03-09,10.6003,11.1229,10.2271,11.1236,164460
BBC,20090325,25-03-09,10.1524,10.6003,9.8538,10.6011,157760
BBC,20090324,24-03-09,9.7045,10.1524,10.1524,10.1531,100210
BBC,20090323,23-03-09,10.1524,10.0778,9.7045,9.7052,114980
