<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BID,20170215,15-02-17,15.8788,16.3003,15.7851,16.254,3866520
BID,20170214,14-02-17,15.8319,15.9724,15.7851,15.9261,3452520
BID,20170213,13-02-17,16.0193,16.0661,15.7851,15.7856,2356920
BID,20170210,10-02-17,15.7851,16.0661,15.7382,16.0198,3882460
BID,20170209,09-02-17,15.9256,16.0661,15.7851,15.7856,3894230
BID,20170208,08-02-17,16.0193,16.113,15.7851,15.9261,3716420
BID,20170207,07-02-17,15.9724,16.2535,15.8788,16.0198,3550940
BID,20170206,06-02-17,16.113,16.3003,15.9256,16.1135,2896390
BID,20170203,03-02-17,16.113,16.4408,15.9724,16.1135,4057580
BID,20170202,02-02-17,15.8319,16.113,15.5977,16.1135,3033030
BID,20170125,25-01-17,15.9256,15.9256,15.4572,15.8324,2424360
BID,20170124,24-01-17,15.7851,16.0661,15.7851,15.9261,3130040
BID,20170123,23-01-17,15.6446,15.9256,15.5509,15.7856,3412290
BID,20170120,20-01-17,15.4572,15.8319,15.3635,15.5982,3226890
BID,20170119,19-01-17,15.3167,15.5977,15.2698,15.4108,1997400
BID,20170118,18-01-17,15.7382,16.2066,15.4104,15.4108,5523490
BID,20170117,17-01-17,15.0825,15.7851,14.942,15.7387,6538420
BID,20170116,16-01-17,15.223,15.2698,14.8014,14.8019,2739610
BID,20170113,13-01-17,15.4572,15.504,15.1293,15.2235,3414240
BID,20170112,12-01-17,15.5509,15.5509,15.3635,15.4577,3541500
BID,20170111,11-01-17,15.1762,15.5509,15.0356,15.5514,7292910
BID,20170110,10-01-17,15.0825,15.1762,14.942,15.083,2471780
BID,20170109,09-01-17,14.8014,15.3635,14.8014,15.1766,6160700
BID,20170106,06-01-17,14.2394,15.0356,14.2394,14.7551,6338280
BID,20170105,05-01-17,14.3799,14.7078,14.2394,14.4272,1988580
BID,20170104,04-01-17,14.333,14.7078,14.333,14.474,4674470
BID,20170103,03-01-17,13.4431,14.1925,13.4431,14.193,4954000
BID,20161230,30-12-16,13.3494,13.4899,13.3026,13.303,1439980
BID,20161229,29-12-16,13.4899,13.5368,13.3026,13.3967,1707820
BID,20161228,28-12-16,13.6304,13.6304,13.3962,13.5372,1805210
BID,20161227,27-12-16,13.6773,13.6773,13.4431,13.584,1463890
BID,20161226,26-12-16,13.6773,13.8178,13.6304,13.6777,1127830
BID,20161223,23-12-16,13.6773,13.6773,13.4431,13.6777,1837280
BID,20161222,22-12-16,13.8178,13.8178,13.5836,13.6777,967740
BID,20161221,21-12-16,13.8178,13.9583,13.6304,13.9588,1778310
BID,20161220,20-12-16,13.8646,13.9115,13.7241,13.8182,1298970
BID,20161219,19-12-16,13.7241,14.052,13.7241,13.8182,1823730
BID,20161216,16-12-16,13.6304,13.8646,13.6304,13.7245,1663470
BID,20161215,15-12-16,13.8646,14.052,13.5836,14.0524,2157870
BID,20161214,14-12-16,13.2089,14.2394,13.162,14.2398,1762620
BID,20161213,13-12-16,13.5836,13.5836,13.1152,13.3967,2488130
BID,20161212,12-12-16,13.6773,13.8178,13.5368,13.6777,1565240
BID,20161209,09-12-16,13.8646,13.9583,13.7241,13.8182,772520
BID,20161208,08-12-16,13.8178,13.9115,13.7241,13.8651,1623610
BID,20161207,07-12-16,13.8178,13.9115,13.7241,13.8182,1784350
BID,20161206,06-12-16,14.0988,14.1457,13.5836,13.8182,2279090
BID,20161205,05-12-16,14.333,14.333,14.052,14.2398,1640570
BID,20161202,02-12-16,14.3799,14.4267,14.2394,14.3335,1335510
BID,20161201,01-12-16,14.4267,14.4267,14.2862,14.4272,2936240
BID,20161130,30-11-16,14.4267,14.4736,14.1925,14.3335,2368910
BID,20161129,29-11-16,14.7078,14.7546,14.2394,14.2398,1665320
BID,20161128,28-11-16,14.8014,14.8014,14.5672,14.7082,1818540
BID,20161125,25-11-16,14.9888,14.9888,14.7078,14.8956,840410
BID,20161124,24-11-16,15.0825,15.0825,14.7078,14.9893,617020
BID,20161123,23-11-16,15.1762,15.3167,15.0825,15.083,3221530
BID,20161122,22-11-16,14.5204,15.0825,14.5204,15.083,1905030
BID,20161121,21-11-16,14.4267,14.7078,14.4267,14.5209,2002790
BID,20161118,18-11-16,14.3799,14.3799,14.2394,14.3335,837340
