<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VHM,20190214,14-02-19,79.4432,81.6171,79.1468,80.9254,971710
VHM,20190213,13-02-19,79.1468,79.8385,78.3563,79.048,506510
VHM,20190212,12-02-19,79.4432,79.4432,78.554,79.048,531210
VHM,20190211,11-02-19,80.0361,80.0361,78.6528,78.9492,353110
VHM,20190201,01-02-19,79.048,79.048,78.6528,79.048,974540
VHM,20190131,31-01-19,81.0242,81.0242,78.6528,79.048,773010
VHM,20190130,30-01-19,79.4432,81.0242,79.4432,81.0242,246940
VHM,20190129,29-01-19,80.522,80.522,79.534,80.5301,334250
VHM,20190128,28-01-19,79.048,79.6409,76.8742,79.6409,284550
VHM,20190125,25-01-19,77.5659,77.7635,76.5778,77.0718,226260
VHM,20190124,24-01-19,78.6528,78.6528,77.0718,77.8623,176750
VHM,20190123,23-01-19,78.9492,79.048,78.0599,78.6528,214610
VHM,20190122,22-01-19,79.6409,80.0361,78.6528,78.6528,285720
VHM,20190121,21-01-19,80.0361,80.0361,79.048,79.5421,411510
VHM,20190118,18-01-19,79.4432,80.1349,78.0599,79.5421,289350
VHM,20190117,17-01-19,79.9373,80.2337,78.8504,78.8504,214330
VHM,20190116,16-01-19,79.3364,81.016,78.1508,79.3444,327390
VHM,20190115,15-01-19,76.0837,78.9492,76.0837,78.9492,297510
VHM,20190114,14-01-19,77.064,77.064,75.6808,76.3801,193920
VHM,20190111,11-01-19,74.0087,75.6885,73.8111,75.6885,241490
VHM,20190110,10-01-19,73.6135,73.7123,72.6254,73.7123,108550
VHM,20190109,09-01-19,73.606,73.606,73.112,73.317,92720
VHM,20190108,08-01-19,73.112,73.3096,72.2228,73.317,205460
VHM,20190107,07-01-19,73.7048,73.7048,72.4204,73.317,186030
VHM,20190104,04-01-19,71.1432,73.6135,70.0563,73.1194,277640
VHM,20190103,03-01-19,71.2348,72.3216,70.642,72.3289,475210
VHM,20190102,02-01-19,72.6254,72.823,71.8349,72.6254,334420
VHM,20181228,28-12-18,72.9144,73.606,72.5192,72.5265,399190
VHM,20181227,27-12-18,73.0132,73.0132,72.0252,72.4277,304690
VHM,20181226,26-12-18,72.2301,72.6254,70.5503,71.1432,547940
VHM,20181225,25-12-18,72.1313,73.1194,71.4396,72.6254,232270
VHM,20181224,24-12-18,74.1,75.088,73.4084,73.5146,172180
